Episode 0: steps = 5182, reward = -38743.0, global_total_steps = 5182
Episode 1: steps = 801, reward = -4761.0, global_total_steps = 5983
Episode 2: steps = 217, reward = -1306.0, global_total_steps = 6200
Episode 3: steps = 78, reward = -177.0, global_total_steps = 6278
Episode 4: steps = 165, reward = -957.0, global_total_steps = 6443
Episode 5: steps = 136, reward = -532.0, global_total_steps = 6579
Episode 6: steps = 189, reward = -1179.0, global_total_steps = 6768
Episode 7: steps = 132, reward = -924.0, global_total_steps = 6900
Episode 8: steps = 407, reward = -2684.0, global_total_steps = 7307
Episode 9: steps = 65, reward = -362.0, global_total_steps = 7372
Episode 10: steps = 250, reward = -1933.0, global_total_steps = 7622
Episode 11: steps = 73, reward = -370.0, global_total_steps = 7695
Episode 12: steps = 543, reward = -3711.0, global_total_steps = 8238
Episode 13: steps = 31, reward = -31.0, global_total_steps = 8269
Episode 14: steps = 53, reward = -152.0, global_total_steps = 8322
Episode 15: steps = 34, reward = -34.0, global_total_steps = 8356
Episode 16: steps = 108, reward = -801.0, global_total_steps = 8464
Episode 17: steps = 82, reward = -379.0, global_total_steps = 8546
Episode 18: steps = 43, reward = -142.0, global_total_steps = 8589
Episode 19: steps = 45, reward = -45.0, global_total_steps = 8634
Episode 20: steps = 95, reward = -788.0, global_total_steps = 8729
Episode 21: steps = 71, reward = -269.0, global_total_steps = 8800
Episode 22: steps = 106, reward = -502.0, global_total_steps = 8906
Episode 23: steps = 148, reward = -1039.0, global_total_steps = 9054
Episode 24: steps = 150, reward = -645.0, global_total_steps = 9204
Episode 25: steps = 28, reward = -28.0, global_total_steps = 9232
Episode 26: steps = 57, reward = -156.0, global_total_steps = 9289
Episode 27: steps = 57, reward = -255.0, global_total_steps = 9346
Episode 28: steps = 104, reward = -698.0, global_total_steps = 9450
Episode 29: steps = 119, reward = -713.0, global_total_steps = 9569
Episode 30: steps = 176, reward = -770.0, global_total_steps = 9745
Episode 31: steps = 181, reward = -973.0, global_total_steps = 9926
Episode 32: steps = 33, reward = -33.0, global_total_steps = 9959
Episode 33: steps = 46, reward = -145.0, global_total_steps = 10005
Episode 34: steps = 216, reward = -1503.0, global_total_steps = 10221
Episode 35: steps = 111, reward = -507.0, global_total_steps = 10332
Episode 36: steps = 69, reward = -366.0, global_total_steps = 10401
Episode 37: steps = 34, reward = -133.0, global_total_steps = 10435
Episode 38: steps = 26, reward = -26.0, global_total_steps = 10461
Episode 39: steps = 63, reward = -63.0, global_total_steps = 10524
Episode 40: steps = 42, reward = -42.0, global_total_steps = 10566
Episode 41: steps = 34, reward = -133.0, global_total_steps = 10600
Episode 42: steps = 107, reward = -602.0, global_total_steps = 10707
Episode 43: steps = 54, reward = -153.0, global_total_steps = 10761
Episode 44: steps = 120, reward = -912.0, global_total_steps = 10881
Episode 45: steps = 44, reward = -143.0, global_total_steps = 10925
Episode 46: steps = 138, reward = -732.0, global_total_steps = 11063
Episode 47: steps = 63, reward = -261.0, global_total_steps = 11126
Episode 48: steps = 35, reward = -35.0, global_total_steps = 11161
Episode 49: steps = 232, reward = -1816.0, global_total_steps = 11393
Episode 50: steps = 45, reward = -342.0, global_total_steps = 11438
Episode 51: steps = 93, reward = -588.0, global_total_steps = 11531
Episode 52: steps = 51, reward = -150.0, global_total_steps = 11582
Episode 53: steps = 33, reward = -33.0, global_total_steps = 11615
Episode 54: steps = 144, reward = -936.0, global_total_steps = 11759
Episode 55: steps = 102, reward = -498.0, global_total_steps = 11861
Episode 56: steps = 37, reward = -136.0, global_total_steps = 11898
Episode 57: steps = 118, reward = -514.0, global_total_steps = 12016
Episode 58: steps = 45, reward = -45.0, global_total_steps = 12061
Episode 59: steps = 197, reward = -1286.0, global_total_steps = 12258
Episode 60: steps = 126, reward = -1314.0, global_total_steps = 12384
Episode 61: steps = 174, reward = -1164.0, global_total_steps = 12558
Episode 62: steps = 67, reward = -463.0, global_total_steps = 12625
Episode 63: steps = 45, reward = -144.0, global_total_steps = 12670
Episode 64: steps = 98, reward = -890.0, global_total_steps = 12768
Episode 65: steps = 99, reward = -297.0, global_total_steps = 12867
Episode 66: steps = 259, reward = -1546.0, global_total_steps = 13126
Episode 67: steps = 192, reward = -1479.0, global_total_steps = 13318
Episode 68: steps = 124, reward = -916.0, global_total_steps = 13442
Episode 69: steps = 26, reward = -26.0, global_total_steps = 13468
Episode 70: steps = 162, reward = -1053.0, global_total_steps = 13630
Episode 71: steps = 55, reward = -550.0, global_total_steps = 13685
Episode 72: steps = 155, reward = -1145.0, global_total_steps = 13840
Episode 73: steps = 50, reward = -50.0, global_total_steps = 13890
Episode 74: steps = 28, reward = -28.0, global_total_steps = 13918
Episode 75: steps = 25, reward = -124.0, global_total_steps = 13943
Episode 76: steps = 54, reward = -351.0, global_total_steps = 13997
Episode 77: steps = 38, reward = -38.0, global_total_steps = 14035
Episode 78: steps = 73, reward = -469.0, global_total_steps = 14108
Episode 79: steps = 27, reward = -27.0, global_total_steps = 14135
Episode 80: steps = 37, reward = -433.0, global_total_steps = 14172
Episode 81: steps = 87, reward = -681.0, global_total_steps = 14259
Episode 82: steps = 228, reward = -1812.0, global_total_steps = 14487
Episode 83: steps = 74, reward = -569.0, global_total_steps = 14561
Episode 84: steps = 183, reward = -1767.0, global_total_steps = 14744
Episode 85: steps = 126, reward = -1017.0, global_total_steps = 14870
Episode 86: steps = 103, reward = -499.0, global_total_steps = 14973
Episode 87: steps = 60, reward = -456.0, global_total_steps = 15033
Episode 88: steps = 57, reward = -354.0, global_total_steps = 15090
Episode 89: steps = 100, reward = -595.0, global_total_steps = 15190
Episode 90: steps = 48, reward = -147.0, global_total_steps = 15238
Episode 91: steps = 73, reward = -766.0, global_total_steps = 15311
Episode 92: steps = 65, reward = -263.0, global_total_steps = 15376
Episode 93: steps = 71, reward = -566.0, global_total_steps = 15447
Episode 94: steps = 68, reward = -266.0, global_total_steps = 15515
Episode 95: steps = 59, reward = -356.0, global_total_steps = 15574
Episode 96: steps = 34, reward = -133.0, global_total_steps = 15608
Episode 97: steps = 92, reward = -389.0, global_total_steps = 15700
Episode 98: steps = 27, reward = -27.0, global_total_steps = 15727
Episode 99: steps = 35, reward = -233.0, global_total_steps = 15762
Episode 100: steps = 35, reward = -134.0, global_total_steps = 15797
Episode 101: steps = 91, reward = -487.0, global_total_steps = 15888
Episode 102: steps = 104, reward = -599.0, global_total_steps = 15992
Episode 103: steps = 29, reward = -29.0, global_total_steps = 16021
Episode 104: steps = 29, reward = -128.0, global_total_steps = 16050
Episode 105: steps = 22, reward = -22.0, global_total_steps = 16072
Episode 106: steps = 39, reward = -39.0, global_total_steps = 16111
Episode 107: steps = 38, reward = -137.0, global_total_steps = 16149
Episode 108: steps = 114, reward = -1104.0, global_total_steps = 16263
Episode 109: steps = 28, reward = -28.0, global_total_steps = 16291
Episode 110: steps = 26, reward = -26.0, global_total_steps = 16317
Episode 111: steps = 82, reward = -676.0, global_total_steps = 16399
Episode 112: steps = 25, reward = -25.0, global_total_steps = 16424
Episode 113: steps = 53, reward = -548.0, global_total_steps = 16477
Episode 114: steps = 50, reward = -446.0, global_total_steps = 16527
Episode 115: steps = 212, reward = -1697.0, global_total_steps = 16739
Episode 116: steps = 57, reward = -453.0, global_total_steps = 16796
Episode 117: steps = 119, reward = -515.0, global_total_steps = 16915
Episode 118: steps = 30, reward = -129.0, global_total_steps = 16945
Episode 119: steps = 46, reward = -145.0, global_total_steps = 16991
Episode 120: steps = 35, reward = -134.0, global_total_steps = 17026
Episode 121: steps = 83, reward = -479.0, global_total_steps = 17109
Episode 122: steps = 67, reward = -661.0, global_total_steps = 17176
Episode 123: steps = 86, reward = -779.0, global_total_steps = 17262
Episode 124: steps = 28, reward = -28.0, global_total_steps = 17290
Episode 125: steps = 26, reward = -26.0, global_total_steps = 17316
Episode 126: steps = 174, reward = -1263.0, global_total_steps = 17490
Episode 127: steps = 39, reward = -237.0, global_total_steps = 17529
Episode 128: steps = 39, reward = -138.0, global_total_steps = 17568
Episode 129: steps = 102, reward = -597.0, global_total_steps = 17670
Episode 130: steps = 103, reward = -598.0, global_total_steps = 17773
Episode 131: steps = 31, reward = -229.0, global_total_steps = 17804
Episode 132: steps = 22, reward = -22.0, global_total_steps = 17826
Episode 133: steps = 58, reward = -256.0, global_total_steps = 17884
Episode 134: steps = 51, reward = -348.0, global_total_steps = 17935
Episode 135: steps = 40, reward = -238.0, global_total_steps = 17975
Episode 136: steps = 51, reward = -249.0, global_total_steps = 18026
Episode 137: steps = 194, reward = -1382.0, global_total_steps = 18220
Episode 138: steps = 45, reward = -243.0, global_total_steps = 18265
Episode 139: steps = 183, reward = -1569.0, global_total_steps = 18448
Episode 140: steps = 36, reward = -135.0, global_total_steps = 18484
Episode 141: steps = 79, reward = -673.0, global_total_steps = 18563
Episode 142: steps = 40, reward = -139.0, global_total_steps = 18603
Episode 143: steps = 26, reward = -26.0, global_total_steps = 18629
Episode 144: steps = 68, reward = -464.0, global_total_steps = 18697
Episode 145: steps = 26, reward = -125.0, global_total_steps = 18723
Episode 146: steps = 26, reward = -26.0, global_total_steps = 18749
Episode 147: steps = 25, reward = -25.0, global_total_steps = 18774
Episode 148: steps = 89, reward = -881.0, global_total_steps = 18863
Episode 149: steps = 69, reward = -465.0, global_total_steps = 18932
Episode 150: steps = 48, reward = -246.0, global_total_steps = 18980
Episode 151: steps = 160, reward = -1051.0, global_total_steps = 19140
Episode 152: steps = 33, reward = -231.0, global_total_steps = 19173
Episode 153: steps = 40, reward = -139.0, global_total_steps = 19213
Episode 154: steps = 26, reward = -26.0, global_total_steps = 19239
Episode 155: steps = 26, reward = -26.0, global_total_steps = 19265
Episode 156: steps = 26, reward = -26.0, global_total_steps = 19291
Episode 157: steps = 41, reward = -338.0, global_total_steps = 19332
Episode 158: steps = 180, reward = -1566.0, global_total_steps = 19512
Episode 159: steps = 25, reward = -25.0, global_total_steps = 19537
Episode 160: steps = 29, reward = -128.0, global_total_steps = 19566
Episode 161: steps = 25, reward = -124.0, global_total_steps = 19591
Episode 162: steps = 54, reward = -153.0, global_total_steps = 19645
Episode 163: steps = 22, reward = -22.0, global_total_steps = 19667
Episode 164: steps = 55, reward = -451.0, global_total_steps = 19722
Episode 165: steps = 153, reward = -1242.0, global_total_steps = 19875
Episode 166: steps = 32, reward = -131.0, global_total_steps = 19907
Episode 167: steps = 42, reward = -141.0, global_total_steps = 19949
Episode 168: steps = 39, reward = -138.0, global_total_steps = 19988
Episode 169: steps = 24, reward = -24.0, global_total_steps = 20012
Episode 170: steps = 34, reward = -232.0, global_total_steps = 20046
Episode 171: steps = 22, reward = -22.0, global_total_steps = 20068
Episode 172: steps = 38, reward = -137.0, global_total_steps = 20106
Episode 173: steps = 92, reward = -488.0, global_total_steps = 20198
Episode 174: steps = 22, reward = -22.0, global_total_steps = 20220
Episode 175: steps = 80, reward = -971.0, global_total_steps = 20300
Episode 176: steps = 73, reward = -370.0, global_total_steps = 20373
