Episode 0: steps,14015, reward,-89453.0, global_total_steps,14015
Episode 1: steps,270, reward,-963.0, global_total_steps,14285
Episode 2: steps,1082, reward,-6824.0, global_total_steps,15367
Episode 3: steps,476, reward,-3446.0, global_total_steps,15843
Episode 4: steps,430, reward,-2410.0, global_total_steps,16273
Episode 5: steps,640, reward,-4600.0, global_total_steps,16913
Episode 6: steps,131, reward,-527.0, global_total_steps,17044
Episode 7: steps,362, reward,-1451.0, global_total_steps,17406
Episode 8: steps,673, reward,-3841.0, global_total_steps,18079
Episode 9: steps,461, reward,-2639.0, global_total_steps,18540
Episode 10: steps,757, reward,-5212.0, global_total_steps,19297
Episode 11: steps,650, reward,-5006.0, global_total_steps,19947
Episode 12: steps,118, reward,-514.0, global_total_steps,20065
Episode 13: steps,295, reward,-1483.0, global_total_steps,20360
Episode 14: steps,569, reward,-3836.0, global_total_steps,20929
Episode 15: steps,194, reward,-1085.0, global_total_steps,21123
Episode 16: steps,270, reward,-1656.0, global_total_steps,21393
Episode 17: steps,86, reward,-185.0, global_total_steps,21479
Episode 18: steps,67, reward,-67.0, global_total_steps,21546
Episode 19: steps,236, reward,-1820.0, global_total_steps,21782
Episode 20: steps,351, reward,-2232.0, global_total_steps,22133
Episode 21: steps,57, reward,-156.0, global_total_steps,22190
Episode 22: steps,361, reward,-1945.0, global_total_steps,22551
Episode 23: steps,596, reward,-3962.0, global_total_steps,23147
Episode 24: steps,184, reward,-1174.0, global_total_steps,23331
Episode 25: steps,76, reward,-274.0, global_total_steps,23407
Episode 26: steps,49, reward,-49.0, global_total_steps,23456
Episode 27: steps,83, reward,-578.0, global_total_steps,23539
Episode 28: steps,75, reward,-273.0, global_total_steps,23614
Episode 29: steps,337, reward,-2515.0, global_total_steps,23951
Episode 30: steps,165, reward,-759.0, global_total_steps,24116
Episode 31: steps,349, reward,-2626.0, global_total_steps,24465
Episode 32: steps,291, reward,-1281.0, global_total_steps,24756
Episode 33: steps,353, reward,-2531.0, global_total_steps,25109
Episode 34: steps,358, reward,-2239.0, global_total_steps,25467
Episode 35: steps,128, reward,-524.0, global_total_steps,25595
Episode 36: steps,538, reward,-4003.0, global_total_steps,26133
Episode 37: steps,235, reward,-1918.0, global_total_steps,26368
Episode 38: steps,157, reward,-751.0, global_total_steps,26525
Episode 39: steps,116, reward,-512.0, global_total_steps,26641
Episode 40: steps,577, reward,-3547.0, global_total_steps,27218
Episode 41: steps,192, reward,-1083.0, global_total_steps,27410
Episode 42: steps,389, reward,-2468.0, global_total_steps,27799
Episode 43: steps,36, reward,-234.0, global_total_steps,27835
Episode 44: steps,157, reward,-850.0, global_total_steps,27992
Episode 45: steps,46, reward,-46.0, global_total_steps,28038
Episode 46: steps,89, reward,-287.0, global_total_steps,28127
Episode 47: steps,183, reward,-777.0, global_total_steps,28310
Episode 48: steps,78, reward,-474.0, global_total_steps,28388
Episode 49: steps,171, reward,-765.0, global_total_steps,28559
Episode 50: steps,114, reward,-510.0, global_total_steps,28673
Episode 51: steps,41, reward,-41.0, global_total_steps,28714
Episode 52: steps,413, reward,-2690.0, global_total_steps,29127
Episode 53: steps,136, reward,-532.0, global_total_steps,29263
Episode 54: steps,449, reward,-2627.0, global_total_steps,29712
Episode 55: steps,44, reward,-143.0, global_total_steps,29756
Episode 56: steps,83, reward,-380.0, global_total_steps,29839
Episode 57: steps,316, reward,-2296.0, global_total_steps,30155
Episode 58: steps,192, reward,-984.0, global_total_steps,30347
Episode 59: steps,166, reward,-760.0, global_total_steps,30513
Episode 60: steps,79, reward,-277.0, global_total_steps,30592
Episode 61: steps,49, reward,-148.0, global_total_steps,30641
Episode 62: steps,147, reward,-939.0, global_total_steps,30788
Episode 63: steps,335, reward,-1919.0, global_total_steps,31123
Episode 64: steps,920, reward,-6860.0, global_total_steps,32043
Episode 65: steps,53, reward,-152.0, global_total_steps,32096
Episode 66: steps,135, reward,-630.0, global_total_steps,32231
Episode 67: steps,166, reward,-859.0, global_total_steps,32397
Episode 68: steps,95, reward,-491.0, global_total_steps,32492
